#First-Come First-Serve
Pid,CPUTime,StartBurstTime,EndBurstTime,Complete
16,7961,109,79,False
17,7994,198,168,False
1,8027,385,355,False
2,8060,159,129,False
3,8093,288,258,False
4,8126,14,0,True
5,8145,216,186,False
7,8178,56,26,False
8,8211,183,153,False
9,8244,274,244,False
10,8277,193,163,False
14,8310,361,331,False
15,8343,462,432,False
16,8376,79,49,False
17,8409,168,138,False
1,8442,355,325,False
2,8475,129,99,False
3,8508,258,228,False
5,8541,186,156,False
7,8574,26,0,True
8,8581,153,123,False
9,8614,244,214,False
10,8647,163,133,False
14,8680,331,301,False
15,8713,432,402,False
16,8746,49,19,False
17,8779,138,108,False
1,8812,325,295,False
2,8845,99,69,False
3,8878,228,198,False
5,8911,156,126,False
8,8944,123,93,False
9,8977,214,184,False
10,9010,133,103,False
14,9043,301,271,False
15,9076,402,372,False
16,9109,19,0,True
17,9123,108,78,False
1,9156,295,265,False
2,9189,69,39,False
3,9222,198,168,False
5,9255,126,96,False
8,9288,93,63,False
9,9321,184,154,False
10,9354,103,73,False
14,9387,271,241,False
15,9420,372,342,False
17,9453,78,48,False
1,9486,265,235,False
2,9519,39,9,False
3,9552,168,138,False
5,9585,96,66,False
8,9618,63,33,False
9,9651,154,124,False
10,9684,73,43,False
14,9717,241,211,False
15,9750,342,312,False
17,9783,48,18,False
1,9816,235,205,False
2,9849,9,0,True
3,9873,138,108,False
5,9906,66,36,False
8,9939,33,3,False
9,9972,124,94,False
10,10005,43,13,False
14,10038,211,181,False
15,10071,312,282,False
17,10104,18,0,True
1,10119,205,175,False
3,10152,108,78,False
5,10185,36,6,False
8,10218,3,0,True
9,10248,94,64,False
10,10281,13,0,True
14,10301,181,151,False
15,10334,282,252,False
1,10367,175,145,False
3,10400,78,48,False
5,10433,6,0,True
9,10460,64,34,False
14,10493,151,121,False
15,10526,252,222,False
1,10559,145,115,False
3,10592,48,18,False
9,10625,34,4,False
14,10658,121,91,False
15,10691,222,192,False
1,10724,115,85,False
3,10757,18,0,True
9,10772,4,0,True
14,10801,91,61,False
15,10834,192,162,False
1,10867,85,55,False
14,10900,61,31,False
15,10933,162,132,False
1,10966,55,25,False
14,10999,31,1,False
15,11032,132,102,False
1,11065,25,0,True
14,11073,1,0,True
15,11105,102,72,False
15,11138,72,42,False
15,11171,42,12,False
